Vol,peso_inicial,peso_final,clase,serie,nota
150,1.2431,1.0976,source,1,
50,1.1353,1.0867,source,1,
20,1.4782,1.4591,source,1,
150,0.8711,1.0162,target,1,
50,0.8512,0.8996,target,1,
20,0.8524,0.8704,target,1,
150,1.0976,0.9493,source,2,
50,1.0867,1.037,source,NA,
20,1.4591,1.44,source,2,
150,1.0162,1.1643,target,2,
50,0.8996,0.948,target,NA,
20,0.8704,0.8894,target,2,
150,1.0522,0.905,source,NA,
50,1.4964,1.4483,source,3,
20,1.0039,0.9854,source,3,
150,0.8731,1.0296,target,NA,
50,0.8616,0.9098,target,3,
20,0.8524,0.8708,target,3,
150,1.44,1.2915,source,4,
50,1.037,0.9885,source,4,
20,0.9493,0.9308,source,4,
150,0.8894,1.0368,target,4,
50,0.948,0.996,target,4,
20,1.1643,1.1824,target,4,
